Taškas	Lat decimal	Long decimal
Alanta	55,35111111	25,29527778
Alytus	54,41444444	24,05833333
Anykščiai	55,52416667	25,10083333
Antalieptė	55,66666667	25,86666667
Ariogala	55,26555556	23,46444444
Arvydai	54,825	25,56111111
Aukštadvaris	54,58	24,52611111
Birštonas	54,60277778	24,03472222
Biržai	56,17611111	24,76111111
Butrimonys	54,5025	24,24805556
Daugai	54,35972222	24,34416667
Druskininkai	54,01583333	23,94388889
Dubingiai	55,05805556	25,45333333
Dusetos	55,74361111	25,83583333
EYDR	54,01611111	23,94444444
EYKA	54,95972222	24,06527778
EYKL	55,71527778	21,24388889
EYKS	54,88	23,88166667
EYMO	55,11277778	25,33638889
EYPA	55,97333333	21,09388889
EYRD	54,49555556	24,7175
EYSA	55,89388889	23,395
EYVI	54,63611111	25,29361111
EYVK	54,66833333	25,51583333
ELEKA	54,80055556	24,68888889
EPINI	54,61388889	25,43166667
Ignalina	55,34	26,15777778
IKAMU	55,34444444	24,63694444
Inturkė	55,16111111	25,57222222
Išlaužas	54,73888889	23,925
Jurbarkas	55,05333333	22,72416667
Kartena	55,91972222	21,56833333
Kedainiai	55,78333333	23,96666667
Kelmė	55,63333333	22,93333333
Kupiškis	55,85	24,98333333
LEDVI	54,6375	25,135
MANUX	55,67611111	22,03555556
Marijampolė	54,55527778	23,34472222
Merkinė	54,16138889	24,18361111
Molėtai	55,22055556	25,40944444
N._Akmenė	56,31666667	22,88333333
Nemenčinė	54,83333333	25,41666667
Paluknys	54,47611111	24,99222222
Panevėžys	55,70833333	24,345
Pasvalys	56,06166667	24,39805556
Pikeliškės	54,84166667	25,25
Pociūnai	54,65388889	24,05805556
Prienai	54,63527778	23,95166667
Ramygala	55,51083333	24,30444444
Raseiniai	55,37972222	23,12138889
RAVPO	54,88611111	24,22
Rokiškis	55,94805556	25,59916667
Sasnava	54,64916667	23,46472222
Seirijai	54,23333333	23,81666667
Simnas	54,38333333	23,65
Sirvintos	55,03611111	24,96944444
SITGU	55,035	23,84111111
Svėdasai	55,68111111	25,36527778
Širvintos	55,05	24,95
Taurage	55,25	22,28333333
Trakų Vokė	54,62861111	25,10805556
Troškunai	55,58666667	24,87027778
TUSDA	55,05027778	24,13638889
Ukmergė	55,255	24,81638889
Utena	55,48944444	25,71638889
Varėna	54,20777778	24,56444444
Veliuona	55,08222222	23,27111111
Videniškiai	55,21722222	25,27694444
Zarasai	55,73333333	26,25
Zavišonys	54,43333333	25,36666667
Želva	0,219722222	25,09888889
EYAL	54,41527778	24,05555556
Kėdainiai	55,28722222	23,95722222
EYMM	54,66388889	23,45194444
ULKIL	54,87638889	23,99166667
ALISI	54,59611111	25,10527778
